,Actual_Value,SARIMA_Forecast,Forecast_Upper,Forecast_Lower
01-01-1985,72.5052,,,
01-02-1985,70.672,,,
01-03-1985,62.4502,,,
01-04-1985,57.4714,,,
01-05-1985,55.3151,,,
01-06-1985,58.0904,,,
01-07-1985,62.6202,,,
01-08-1985,63.2485,,,
01-09-1985,60.5846,,,
01-10-1985,56.3154,,,
01-11-1985,58.0005,,,
01-12-1985,68.7145,,,
01-01-1986,73.3057,,,
01-02-1986,67.9869,,,
01-03-1986,62.2221,,,
01-04-1986,57.0329,,,
01-05-1986,55.8137,,,
01-06-1986,59.9005,,,
01-07-1986,65.7655,,,
01-08-1986,64.4816,,,
01-09-1986,61.0005,,,
01-10-1986,57.5322,,,
01-11-1986,59.3417,,,
01-12-1986,68.1354,,,
01-01-1987,73.8152,,,
01-02-1987,70.062,,,
01-03-1987,65.61,,,
01-04-1987,60.1586,,,
01-05-1987,58.8734,,,
01-06-1987,63.8918,,,
01-07-1987,68.8694,,,
01-08-1987,70.0669,,,
01-09-1987,64.1151,,,
01-10-1987,60.3789,,,
01-11-1987,62.4643,,,
01-12-1987,70.5777,,,
01-01-1988,79.8703,,,
01-02-1988,76.1622,,,
01-03-1988,70.2928,,,
01-04-1988,63.2384,,,
01-05-1988,61.4065,,,
01-06-1988,67.1097,,,
01-07-1988,72.9816,,,
01-08-1988,75.7655,,,
01-09-1988,67.5152,,,
01-10-1988,63.2832,,,
01-11-1988,65.1078,,,
01-12-1988,73.8631,,,
01-01-1989,77.9188,,,
01-02-1989,76.6822,,,
01-03-1989,73.3523,,,
01-04-1989,65.1081,,,
01-05-1989,63.6892,,,
01-06-1989,68.4722,,,
01-07-1989,74.0301,,,
01-08-1989,75.0448,,,
01-09-1989,69.3053,,,
01-10-1989,65.8735,,,
01-11-1989,69.0706,,,
01-12-1989,84.1949,,,
01-01-1990,84.3598,,,
01-02-1990,77.1726,,,
01-03-1990,73.1964,,,
01-04-1990,67.2781,,,
01-05-1990,65.8218,,,
01-06-1990,71.4654,,,
01-07-1990,76.614,,,
01-08-1990,77.1052,,,
01-09-1990,73.061,,,
01-10-1990,67.4365,,,
01-11-1990,68.5665,,,
01-12-1990,77.6839,,,
01-01-1991,86.0214,,,
01-02-1991,77.5573,,,
01-03-1991,73.365,,,
01-04-1991,67.15,,,
01-05-1991,68.8162,,,
01-06-1991,74.8448,,,
01-07-1991,80.0928,,,
01-08-1991,79.1606,,,
01-09-1991,73.5743,,,
01-10-1991,68.7538,,,
01-11-1991,72.5166,,,
01-12-1991,79.4894,,,
01-01-1992,85.2855,,,
01-02-1992,80.1643,,,
01-03-1992,74.5275,,,
01-04-1992,69.6441,,,
01-05-1992,67.1784,,,
01-06-1992,71.2078,,,
