,Actual_Value,Prophet_Forecast,Prophet_Lower,Prophet_Upper
1985-01-01,72.5052,,,
1985-02-01,70.672,,,
1985-03-01,62.4502,,,
1985-04-01,57.4714,,,
1985-05-01,55.3151,,,
1985-06-01,58.0904,,,
1985-07-01,62.6202,,,
1985-08-01,63.2485,,,
1985-09-01,60.5846,,,
1985-10-01,56.3154,,,
1985-11-01,58.0005,,,
1985-12-01,68.7145,,,
1986-01-01,73.3057,,,
1986-02-01,67.9869,,,
1986-03-01,62.2221,,,
1986-04-01,57.0329,,,
1986-05-01,55.8137,,,
1986-06-01,59.9005,,,
1986-07-01,65.7655,,,
1986-08-01,64.4816,,,
1986-09-01,61.0005,,,
1986-10-01,57.5322,,,
1986-11-01,59.3417,,,
1986-12-01,68.1354,,,
1987-01-01,73.8152,,,
1987-02-01,70.062,,,
1987-03-01,65.61,,,
1987-04-01,60.1586,,,
1987-05-01,58.8734,,,
1987-06-01,63.8918,,,
1987-07-01,68.8694,,,
1987-08-01,70.0669,,,
1987-09-01,64.1151,,,
1987-10-01,60.3789,,,
1987-11-01,62.4643,,,
1987-12-01,70.5777,,,
1988-01-01,79.8703,,,
1988-02-01,76.1622,,,
1988-03-01,70.2928,,,
1988-04-01,63.2384,,,
1988-05-01,61.4065,,,
1988-06-01,67.1097,,,
1988-07-01,72.9816,,,
1988-08-01,75.7655,,,
1988-09-01,67.5152,,,
1988-10-01,63.2832,,,
1988-11-01,65.1078,,,
1988-12-01,73.8631,,,
1989-01-01,77.9188,,,
1989-02-01,76.6822,,,
1989-03-01,73.3523,,,
1989-04-01,65.1081,,,
1989-05-01,63.6892,,,
1989-06-01,68.4722,,,
1989-07-01,74.0301,,,
1989-08-01,75.0448,,,
1989-09-01,69.3053,,,
1989-10-01,65.8735,,,
1989-11-01,69.0706,,,
1989-12-01,84.1949,,,
1990-01-01,84.3598,,,
1990-02-01,77.1726,,,
1990-03-01,73.1964,,,
1990-04-01,67.2781,,,
1990-05-01,65.8218,,,
